"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.176861901E0,3.475813389E0,5.402340889E-1,-2.191749096E0
1.186871201E0,4.653890610E0,-6.062464714E-1,-1.851184368E0
1.196880101E0,4.169653893E0,-5.193616152E-1,-1.570917606E0
1.206888934E0,3.626960278E0,6.235129833E-1,-2.069198608E0
1.216898167E0,3.132885456E0,1.455530405E0,-2.388719082E0
1.226906400E0,3.160756588E0,1.827614546E0,-2.410396099E0
1.236913533E0,3.356409550E0,1.387512445E0,-1.895115376E0
1.246920533E0,3.316114902E0,6.601099968E-1,-9.626417160E-1
1.256928666E0,3.326141834E0,4.046297073E-2,-8.446216583E-1
1.266936799E0,4.399117470E0,-9.606112242E-1,1.711406708E-1
1.276944665E0,5.091289043E0,-1.845960498E0,-3.710832596E-1
1.286952498E0,4.852595329E0,-2.147484779E0,-1.606018066E0
1.296960798E0,3.646003962E0,-2.452592134E0,-2.068067551E0
1.306969098E0,2.627347708E0,-2.855869770E0,-2.572026253E0
1.316976264E0,1.765295267E0,-3.326408148E0,-2.700459957E0
1.326983264E0,1.505688906E0,-3.582132578E0,-2.579528809E0
1.336991297E0,1.265448093E0,-3.427280903E0,-2.337272167E0
1.346999330E0,1.173219204E0,-2.878514767E0,-2.479303837E0
1.357007096E0,1.355183721E0,-2.832711458E0,-2.449352264E0
1.367014996E0,2.006641388E0,-3.257015705E0,-2.268875122E0
1.377023062E0,2.625437737E0,-3.284041882E0,-2.072473526E0
1.387031128E0,2.264135599E0,-2.364888430E0,-2.273289680E0
1.397038361E0,2.176215887E0,-1.659925461E0,-2.485901833E0
1.407045794E0,2.630265236E0,-1.540584087E0,-2.039617062E0
1.417054527E0,2.701666355E0,-1.714138508E0,-1.662541389E0
1.427063360E0,1.044466496E0,-1.637341022E0,-9.311728477E-1
1.437071993E0,-2.389532089E0,-1.130334377E0,-5.343227386E-1
1.447078859E0,-4.195467472E0,-1.861088753E0,-1.760568619E-1
1.457086159E0,-4.042496681E0,-3.970191956E0,-3.239774704E-2
1.467093559E0,-3.122032881E0,-5.615588665E0,-5.684995651E-2
1.477099792E0,-2.252727032E0,-6.915148735E0,-1.003513336E0
1.487105925E0,-1.904310465E0,-7.448979855E0,-2.461884975E0
1.497113125E0,-1.346477151E0,-7.398823261E0,-3.649632692E0
1.507120425E0,-7.890610695E-1,-7.019186020E0,-4.519454479E0
1.517127358E0,-3.749532700E-1,-6.925303459E0,-4.957868099E0
1.527134324E0,-5.140304565E-4,-7.124886990E0,-4.863314629E0
1.537141357E0,6.656894684E-1,-7.333808422E0,-4.323474884E0
1.547148423E0,1.553735256E0,-7.474336624E0,-3.667877197E0
1.557154289E0,2.097381115E0,-7.524898529E0,-2.861526966E0
1.567160122E0,2.681669712E0,-7.234458923E0,-1.765069723E0
1.577166988E0,3.813214302E0,-6.887833118E0,-6.181321144E-1
1.587173854E0,4.392498016E0,-6.595654011E0,1.691238880E-1
1.597180187E0,3.988409996E0,-6.395324230E0,5.819821358E-1
1.607186753E0,3.683845520E0,-5.296098232E0,-1.842565536E-1
1.617193919E0,4.107677460E0,-4.645220280E0,-8.334860802E-1
1.627201385E0,4.562711239E0,-3.745090485E0,-8.676836491E-1
1.637208218E0,5.120713234E0,-3.193654537E0,-2.313137054E-2
1.647215351E0,5.921796799E0,-2.648341417E0,9.140690565E-1
1.657223851E0,6.553830147E0,-2.081133842E0,1.289574623E0
1.667232484E0,7.036223412E0,-1.209946156E0,1.191464186E0
1.677240950E0,7.497620583E0,-7.801771164E-3,8.140794635E-1
1.687249350E0,8.073414803E0,1.376785994E0,4.417752326E-1
1.697258083E0,8.757790565E0,2.584340572E0,3.007990420E-1
1.707266716E0,9.237943649E0,3.593852758E0,4.414391220E-1
1.717274282E0,9.705226898E0,4.612674713E0,2.997305393E-1
1.727281715E0,9.886188507E0,5.498579025E0,-6.621931493E-2
1.737290081E0,9.084185600E0,5.584570885E0,-2.002653778E-1
1.747298281E0,8.083564758E0,5.489032745E0,-6.027163267E-1
1.757306147E0,7.153750420E0,4.788141251E0,-2.338521957E0
1.767313947E0,4.966019630E0,4.252170086E0,-2.723870277E0
1.777322147E0,4.921269417E0,4.269567490E0,-1.818127275E0
1.787330280E0,4.470746040E0,3.929554939E0,-6.356991529E-1
1.797337446E0,3.397963524E0,3.646174192E0,4.027297497E-1
1.807344746E0,3.244227409E0,3.594954729E0,1.031679988E0
1.817353179E0,2.943964005E0,3.092961788E0,7.862752676E-2
1.827361845E0,2.010480881E0,2.182358265E0,-1.064751625E0
1.837370378E0,9.884033203E-1,1.317023993E0,-1.423503160E0
1.847379011E0,-4.095172882E-2,2.858579159E-1,-2.889931679E0
1.857388144E0,-1.536633492E0,-7.517390251E-1,-3.892433167E0
1.867397277E0,-2.094643593E0,-1.957216263E0,-2.916704178E0
1.877405377E0,-1.759448528E0,-2.871329784E0,-1.464494467E0
1.887413577E0,-2.235229492E0,-3.535490513E0,-8.966951370E-1
1.897422877E0,-2.212920189E0,-3.568589211E0,2.844851017E-1
1.907431943E0,-2.438013077E0,-4.062837124E0,2.639005184E-1
