"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.894744250E1,6.498392609E1,2.552130654E1,1.452244856E1,8.700000048E-1,1.491999969E2,3.500000000E0,4.000000000E0
7.994693910E1,6.498391570E1,2.552131617E1,1.452243769E1,9.199999571E-1,1.491000061E2,3.500000000E0,4.000000000E0
8.093254941E1,6.498390689E1,2.552132581E1,1.452242828E1,8.799999952E-1,1.528000031E2,3.500000000E0,4.000000000E0
8.196155043E1,6.498389315E1,2.552134015E1,1.452241369E1,9.300000072E-1,1.540000000E2,3.500000000E0,4.000000000E0
8.293331016E1,6.498387953E1,2.552135624E1,1.552239898E1,9.799999595E-1,1.556000061E2,3.500000000E0,4.000000000E0
8.392602352E1,6.498386729E1,2.552137426E1,1.552238529E1,8.399999738E-1,1.571999969E2,3.500000000E0,4.000000000E0
8.491624023E1,6.498385497E1,2.552138968E1,1.552237187E1,7.799999714E-1,1.611000061E2,3.500000000E0,4.000000000E0
8.595260820E1,6.498384428E1,2.552139681E1,1.552236105E1,8.199999928E-1,1.623999939E2,3.500000000E0,4.000000000E0
8.693403383E1,6.498383196E1,2.552140569E1,1.552234849E1,9.099999666E-1,1.713000031E2,3.000000000E0,4.000000000E0
8.794611664E1,6.498381583E1,2.552140192E1,1.552233406E1,8.899999857E-1,1.741999969E2,3.500000000E0,4.000000000E0
8.894293644E1,6.498380485E1,2.552139974E1,1.552232419E1,8.599999547E-1,1.805000000E2,3.500000000E0,4.000000000E0
8.994639172E1,6.498378867E1,2.552139429E1,1.652230994E1,8.199999928E-1,1.788000031E2,3.000000000E0,4.000000000E0
9.093899414E1,6.498377492E1,2.552139714E1,1.752229685E1,1.019999981E0,1.808999939E2,3.000000000E0,4.000000000E0
9.195108230E1,6.498376310E1,2.552139178E1,1.752228663E1,1.029999971E0,1.805000000E2,3.000000000E0,4.000000000E0
9.294231102E1,6.498375200E1,2.552139153E1,1.752227639E1,9.899999499E-1,1.776000061E2,3.000000000E0,4.000000000E0
9.393999012E1,6.498374160E1,2.552139773E1,1.852226596E1,8.399999738E-1,1.750000000E2,3.500000000E0,4.000000000E0
9.494995660E1,6.498372979E1,2.552139740E1,1.852225507E1,8.799999952E-1,1.761000061E2,3.000000000E0,4.000000000E0
9.594637867E1,6.498372191E1,2.552139496E1,2.052224811E1,8.100000024E-1,1.761999969E2,3.000000000E0,4.000000000E0
9.694698570E1,6.498371026E1,2.552138507E1,2.052223863E1,7.899999619E-1,1.833000031E2,2.500000000E0,4.000000000E0
